block_number,transaction_hash,receiver,amount
36130,0xa72019f9466dbfcc5ad24c9b38030d753ee8f7b3f0eb2d714b71a5c5b14944ae,0x52e1c5a3c07e70d8250a21dd7cb3bba01e6899b0,27.5
36130,0x1e6991a00d42efa55a9fafae5c112b665467280815b2a6aa8b4156534893dcc6,0xeb92572166bfee1c23e232e373700adc0ea42636,880.0
36130,0x24ffd66ab657dd4af929260575c7f8083539db090260d17c28bc2d2360d72f53,0x0b5c97a013b2a13e31a135cfdfa90254bad2f215,2804.9999999999995
36131,0xb0b38c43bba5e396d8031ae4155358efd0cd82f35e336022ac08e3151a028bde,0xdb5c4078ec50ad4cdc47f4597a377528b1d7bcdb,1100.0
36131,0xe00b38cc2b22598390ca36d517a9918432370c53619b92986feba350c9de686a,0x862534a202deedeb9317e509fc3a19f088c9808d,440.0
36131,0xbe7e568603c02c78dc8e6a8ed2dd2a6afee91119f1f6ce913aa692c4b1a4024e,0xf9b619295946165be319d55e71d6af2754d079a7,302.5
36131,0x4694961e0de67acd6e44941e365bdb243b39bfa7a7d9afc7bd0f630a2ec5b355,0x351a4ddb6a89f20e367a00f5d0cd65d0846d54ed,27.5
36131,0x55cfc610af0f4b93de4b0b3f9694c6b74025653a94e3c80f8730a65c5f8f98b1,0x840cadf33a2989116cf9b1c17ca6fc69136fca26,55.0
36131,0xb7e06be4b3558a5fed2f600f829f629649f89445e0db10022ef5a64531022a22,0xd28dc62611c424c51a9d01c8b962eb02eaae9b28,27.5
36131,0x29711494c7e34f2cd4179ef575031a96d28724b4140767413060d6ce6bf0f03b,0xdea11e0282dbaed8cb201e68d3f42d096b398bfe,275.0
36131,0x4cb37fd9028cfcb35a9c2f1d827efa287226e5eb3624abd92682bd1274bdb1c8,0xc7760e7e998ba0e961d3d85cfe95cd140364bd1c,137.5
36131,0xe2c0408886047a8ea6ad13072fdd9b75efbb61f98682019627f6ff46e8c265b4,0xe725d112d6442ee81dfd873b3198c83d8f2fcc4f,110.0
36131,0xb13c56c9a7c9184af7e132f66802556f05c7afb4b19ad8548b14407be6a54984,0x67d319e298a80a543c13adf419517fc561a28306,247.5
36132,0xf4a38b8b9ab971df68e8895d50e1b2e74e285301f0549c0954913532468285c4,0x03356104d579d39523eb0f9444ddc58780d3263c,27.5
36132,0x40dafccfeec4f699da10f026e46464f6cdc5ae777a98301735ebfef073f216a4,0xce0053f340325aaf2e8b347863684bea008c1078,330.0
36132,0x076d49a8ea91baf0cf9839d2779da31d95d118091803056cbb0060f96a5aacf8,0xb1e745e9a67be8ceee1864558e7608021a5ba4e0,27.5
36132,0x888828ed4114746d4d4d239ee791506aee92f1e9b381a0fcc3a4d8dcc69a8d59,0x89172e6ecd0f83e0b31da700f022e39ddd891d0c,440.0
36132,0x073660bb03e14ee6aa210a26d3d23c0f93fedbc3248052a429c8438c0fa50712,0x55eac922e3f34c09f7ea8b9e372066998b8cb348,220.0
36132,0x48735e3bfa0d04b90a88110525293c13345a240c196e4d3a07e375dd9da9a2e0,0xbcd91b61e06f6bab05d502c16929f2b4fd078573,27.5
36132,0x9cddec4abda7d2a313986d9944843595d2cffd262fc18cd8978ba43837ca1cc3,0xd37f5756d70d826d47dff516b1021cc52bea66b5,275.0
36132,0x7395dffba7286de65e5cc282c1b53ac66e5cbb59c04744ad1af41a03942f840e,0x320d107753f2bf30df65189660aef50af61eef96,220.0
36132,0x87ecd5cf398e9cb06bbae9f2bf93af3eee9699ed7a02122f25bf53e963a214a9,0x45b0512fcfb3348de914909f7efbaf2961a7be55,330.0
36132,0xf82564c90be619bcf05de89846a2a3874a4972eb9460c3364b025131c8226266,0x1cf1fb239abcae54e18110610b1a4eb0c30e9bbe,110.0
36134,0x56b93302266a61c3ad964a6e97c7122885a4cc2bced442e53112e90111673e8e,0xe9e0557f8c73d7247fee9577b420d96adfc97ff1,110.0
36134,0x6e3c728a04d8a6ed0148c3b7ac48d6d84acdf3933fa65d27bbeadbd8e355fb1e,0x832623006c7488d3df2f12b650adf3c00eb7712d,27.5
36134,0x56b61e3a6ea92c00d378e0f465bb076bcd9b7b10685afc7b8693551fee54f8b3,0xc112576ef8f71fbef0947bb174214aca0c7b9d54,220.0
36134,0x303594aab6d1294f2da026ee7b7d47df0e0263e28006dffaad460e26dba56455,0x3faa92a9c2f3a6b2d7563bbd58df4cf0f75c0e87,27.5
36134,0x60121f4b91b150a69bbba0f71868c942ff84be83b0568b0a8322c40b0dee6d22,0x852291c8e89fcca7e97c43243670d1feeb5d9d35,27.5
36134,0x0ca971760d35ef839bd0386c0e52bc72c518f85f352d2a72855d56bcdddfd1da,0x0a7273e8ced570aa79a225b39211efc9a4a7ef80,220.0
36134,0x4aca31a813344a1feb7a6ab638abb59bb2d87171d8aa7bddf7a45fbeb6cb314e,0x8acf9e76adb29ae201d7b47daff830b094896a00,110.0
36134,0x455f4fd9479386659c9cbbe4ba0bfb66fd0c1b77721eb5dee91c191da6c7c3bf,0xe0318b9340d3b35c0a9e874ac3a69ebd913840c9,55.0
36134,0x5fe41d53afa8b775d4f9314323a31fac8f40adac45f70efcac8d72da7734e0ca,0xb3e8083808516e0b1054f83228289640f0dc2871,110.0
36134,0x332f2acce26bb8e2ddff29fcb9713e941bce579a2c35428874b99794c6f73aec,0x4b109c3cefe729c13deb57cafda81855a03b8ce0,82.5
36136,0x9f4d4a94a3839b7f62b70e9cde7204cd467b62dba51b9413170c1c96bd3ffa04,0x4ffc2ed0ac9e31aa8c4b9502e4c18be49f5744b5,247.5
36136,0xf6b7d599d90338e2d6a88505e3693a8c7e4d01a09937b22aa843ac82d3fe5588,0x2a00304f0a269c2e2100f311a3f9b50cde95f475,110.0
36136,0xcc31f14f5fd5f4e2d56a3709758b37d3e5acc7d9a20c6e32c5532305e64b57c2,0x88f8dbd3dc44c6e2e368258d3eee8eb9a07af191,220.0
36136,0x13ed583add9cc156176b6ffdc61d0607ab9df250437da1def521d36f65f7c0a1,0x8c780b050aab62e5deb5826cbae47a7cbff87a31,110.0
36136,0x9ed2528963fabb3bd9568ef854750347739a87f95adcd3525351f03a503d1413,0xd957fcdb8fd06866aa4e2e38c128be655d5eddc0,55.0
36136,0xa5aa64733370476e46aca7d6042ca4139f6ea464c2a7d4bf9123b5df4f7f9047,0x95a59bd3c8265a625eddaaf45765c2da11b4115d,110.0
36136,0x30b21aa6072117fad3489903fe98ec5d82eb3f9f2e588f97f5862d6be36c142a,0x8b681ddfc1a5897876f92d5e4d2df068f8833934,110.0
36136,0x3737fea569e22ce4bfa693170d28d005d979ebfe5753f5ab141ea572d7e66c99,0x280f2477c0a1d2322404ec08206c89111a88c548,110.0
36136,0xdefb03cf1ce8d695695201d3636e81af0a49ea78003c77d6b82ce953a8a2bbd1,0x1edf13b95c8d0b96fb21a4891c53f628f60fe8cd,110.0
36136,0xfa87fe7b1c26df5aa630c093a5b49b047fb07d6f5387a5d09026b57de60bceba,0xd4593e7c134ee53707f5a34e97aba08e4fd6aee9,110.0
36137,0x7a8c9e1ba27ee0af3cd145b12aaf4021feabec6ab67f5f83b8beea005f327fec,0x66fd948b319ee354cb7f18b26e7ecc9a8383d7a5,687.5
36137,0xc65ee94eac58e3d3d75e02c22ac88eae9cc5a8a2ae63a93a63cce669945e29ac,0x4494ffbdebb7d640c6fc8964b003781b05a2763a,220.0
36137,0xaa3cdd9d1e1ec1fb230079dc9ab945d267417ebca993fce0f222c9d7e8a88d07,0xe283e87b6038825abca0e82f497ca8410a9261ea,220.0
36137,0x56f2a67c667142b2858157e43219a0a670e7143f8632dd4bcefbf928f35e8d9d,0x19e706357dcae405fb7a06436e46cdfa3b88dddc,220.0
36137,0x473f3c007cad26652825adcc3691d9c6482486c981b6f8bf1fd57cf653f10c2b,0x1180a7f8479fab65bf39c0e922a5bf06233c293b,220.0
36137,0x39f6825550ed0d2b7ab70e6897388f6a2ddfecbc651a56a45bcdd48e268cf1f9,0x792ef1ea5082c5b7b55f30925a73063399ffce02,55.0
36138,0x1da3e20850db6a43f4f4b8343deec62cde86a57e3560d043a545e214da32ca5c,0x27f0cc716f3d28335f4ad644aa993814a51ee00f,220.0
36138,0x2d97da86173652d7c4f863b64d137138c2117ffe04addd42ab3a60016e62d15a,0x6f88e374dc385035cdfc17dd21b966c1853d73d4,247.5
36138,0xc06e1c58ad1a83f04dc5613d60db59701f572575dca832fac9180758c9f94546,0x1f28f10176f89f4e9985873b84d14e75751bb3d1,3135.0000000000005
36138,0xf33aa22dd29c05334814a8f5af38434199332c006e0db0a4dbc53c220f319205,0xec7e4c66e2913200866953ed03883cf78999e7c8,220.0
36139,0x13987830eb044e3064512f658f623770aea9743449c0819d5325f131b8d6f4f1,0x9dfae56192f5714129cc69639e233dcace94891f,440.0
36139,0x63f66fed79bb673e76fefd3353a8f15af8cba238d8955199185923235c9c90cc,0xb66cd4b44b2bd97b8cd50bc058db5e366f3683aa,660.0
36139,0xa647cf2ade4f4427e4e0369621a72b47a957dbf8e6aec28262a9863ecd48ed27,0xe4557a032c75bf2ea06a8212e36f18f60e7ee7ac,357.5
